send_time          ,time_process          ,image_count ,time_received
1733409597.991888  , 0.017412662506103516 ,      255.0 ,1733409597.9935098
1733409598.0263312 , 0.015476226806640625 ,      256.0 ,1733409598.0594618
1733409598.0656278 , 0.01611495018005371  ,      257.0 ,1733409598.118471
1733409598.0976615 , 0.015241861343383789 ,      258.0 ,1733409598.118471
1733409598.136013  , 0.01564335823059082  ,      259.0 ,1733409598.179043
1733409598.1664753 , 0.014447450637817383 ,      260.0 ,1733409598.179043
1733409598.201628  , 0.014601707458496094 ,      261.0 ,1733409598.240296
1733409598.2336025 , 0.014736175537109375 ,      262.0 ,1733409598.240296
1733409598.2713044 , 0.01465749740600586  ,      263.0 ,1733409598.31531
1733409598.3023202 , 0.013798713684082031 ,      264.0 ,1733409598.31531
1733409598.3362563 , 0.013791322708129883 ,      265.0 ,1733409598.389109
1733409598.3717492 , 0.014217138290405273 ,      266.0 ,1733409598.389109
1733409598.4135013 , 0.015222787857055664 ,      267.0 ,1733409598.449167
1733409598.4449968 , 0.014984130859375    ,      268.0 ,1733409598.449167
1733409598.4813313 , 0.014803409576416016 ,      269.0 ,1733409598.516495
1733409598.5143979 , 0.014841079711914062 ,      270.0 ,1733409598.516495
1733409598.545717  , 0.014594554901123047 ,      271.0 ,1733409598.5792902
1733409598.580364  , 0.01660323143005371  ,      272.0 ,1733409598.638392
1733409598.6166127 , 0.016255855560302734 ,      273.0 ,1733409598.638392
1733409598.6522052 , 0.017452478408813477 ,      274.0 ,1733409598.699212
1733409598.683994  , 0.014458894729614258 ,      275.0 ,1733409598.699212
1733409598.7154107 , 0.014136552810668945 ,      276.0 ,1733409598.759873
1733409598.7474842 , 0.014177322387695312 ,      277.0 ,1733409598.759873
1733409598.7832723 , 0.015335321426391602 ,      278.0 ,1733409598.82794
1733409598.816192  , 0.014900684356689453 ,      279.0 ,1733409598.82794
1733409598.8467655 , 0.013770818710327148 ,      280.0 ,1733409598.891447
1733409598.885246  , 0.015187978744506836 ,      281.0 ,1733409598.891447
1733409598.9163544 , 0.013904809951782227 ,      282.0 ,1733409598.95704
1733409598.9517634 , 0.014763355255126953 ,      283.0 ,1733409598.95704
1733409598.9856963 , 0.014975547790527344 ,      284.0 ,1733409599.0328739
1733409599.018309  , 0.014842748641967773 ,      285.0 ,1733409599.0328739
1733409599.0611064 , 0.015857934951782227 ,      286.0 ,1733409599.1016939
1733409599.096383  , 0.015216588973999023 ,      287.0 ,1733409599.1016939
1733409599.1275654 , 0.014731407165527344 ,      288.0 ,1733409599.174906
1733409599.1602778 , 0.013943910598754883 ,      289.0 ,1733409599.174906
1733409599.1929429 , 0.014954566955566406 ,      290.0 ,1733409599.240142
1733409599.2281919 , 0.014189481735229492 ,      291.0 ,1733409599.240142
1733409599.2611682 , 0.015076398849487305 ,      292.0 ,1733409599.313843
1733409599.3009925 , 0.015651464462280273 ,      293.0 ,1733409599.313843
1733409599.3365502 , 0.01504373550415039  ,      294.0 ,1733409599.375529
1733409599.3693848 , 0.01453399658203125  ,      295.0 ,1733409599.375529
1733409599.4033153 , 0.014761209487915039 ,      296.0 ,1733409599.4553652
1733409599.4351764 , 0.01411294937133789  ,      297.0 ,1733409599.4553652
1733409599.468547  , 0.014638662338256836 ,      298.0 ,1733409599.518732
